,Name,Market Cap (GBP$ Billion)
0," JPMorgan Chase
",408.542
1," Bank of America
",317.193
2," Industrial and Commercial Bank of China
",206.165
3," Wells Fargo
",257.613
4," China Construction Bank
",215.281
5," HSBC Holdings PLC
",183.391
6," Agricultural Bank of China
",169.987
7," Citigroup Inc.
",169.921
8," Bank of China
",151.775
9," HDFC Bank
",112.408
10," Goldman Sachs
",110.133
11," China Merchants Bank
",102.552
12," Royal Bank of Canada
",102.509
13," Banco Santander
",96.765
14," Commonwealth Bank
",93.863
15," Mitsubishi UFJ Financial Group
",93.389
16," Toronto-Dominion Bank
",90.703
17," Sberbank of Russia
",83.503
18," Morgan Stanley
",83.345
19," U.S. Bancorp
",79.085
20," BNP Paribas
",78.058
21," Itaú Unibanco
",72.098
22," Westpac
",70.723
23," Scotiabank
",66.029
24," ING Group
",66.006
25," UBS
",63.131
26," Charles Schwab
",62.105
27," PNC Financial Services
",60.424
28," Lloyds Banking Group
",59.594
29," Sumitomo Mitsui Financial Group
",56.311
30," Bank of Communications
",56.102
31,"  Australia and New Zealand Banking Group
",55.575
32," Banco Bradesco
",54.21
33," National Australia Bank
",53.355
34," Intesa Sanpaolo
",51.882
35," Banco Bilbao Vizcaya Argentaria
",50.749
36," Japan Post Bank
",50.621
37," The Bank of New York Mellon
",50.034
38," Shanghai Pudong Development Bank
",49.175
39," Industrial Bank (China)
",47.998
40," Bank of China (Hong Kong)
",46.376
41," State Bank of India
",46.586
42," Crédit Agricole
",43.609
43," DBS Bank
",43.052
44," Nordea
",42.81
45," Capital One
",42.744
46," NatWest Group
",42.228
47," Mizuho Financial Group
",41.834
48," Credit Suisse
",40.532
49," Postal Savings Bank of China
",40.102
50," China Minsheng Bank
",40.08
51," UniCredit
",39.959
52," China CITIC Bank
",39.687
53," Hang Seng Bank
",38.616
54," Société Générale
",38.516
55," Barclays
",38.348
56," Canadian Imperial Bank of Commerce
",36.419
57," Bank Central Asia
",36.252
58," Truist Financial
",35.063
59," Oversea-Chinese Banking Corp
",34.594
60," Bank of Montreal
",44.479
61," State Street Corporation
",33.262
62," Deutsche Bank
",32.325
63," KBC Bank
",32.112
64," Danske Bank
",31.969
65," Ping An Bank
",31.776
66," Standard Chartered
",31.212
67," United Overseas Bank
",29.38
68," QNB Group
",28.069
69," Bank Rakyat Indonesia
",27.668
